Title,Composer,CatNo,Date,Range,Inst1,Inst2,Inst3,Genre,Subgenre,Species ,Species2,Nationality,Key,Modulation,Folder,Filename,Comments
Suite Espanola 8 Cuba,Albeniz,Op47,1918,,Piano,,,OthersSolo,Nocturne,,,Spain,Eb major,,A,Suite Espanola 8 Cuba Op47 Eb major,
Waltz for Electric Piano,Albeniz,,,1880-1899,Piano,,,OtherSolo,,Waltz,,Spain,Ab major,,A,Waltz for Electric Piano Ab major,
Adagio in G-,Albinoni,FAKE,,1770-1800,Organ,,,OtherSolo,,,,Italy,G minor,,A,Adagio in G- G minor,FAKE!!
Concerto for Trumpet,Albinoni,Op9,1722,,Trumpet,Orchestra,,Concerto,,,,Italy,D major,,A,Concerto for Trumpet D major,
Sonata da Chiesa 1 Largo,Albinoni,Op9No2,1722,,Violin,Harpsichord,,ChamberSonata,,,,Italy,B minor,,A,Sonata da Chiesa 1 Largo Op9No2 B minor,
Sonata da Chiesa 2 Allegro,Albinoni,Op9No2,1722,,Violin,Harpsichord,,ChamberSonata,,,,Italy,B minor,,A,Sonata da Chiesa 2 Allegro Op9No2 B minor,
Sonata da Chiesa 3 Adagio,Albinoni,Op9No2,1722,,Violin,Harpsichord,,ChamberSonata,,,,Italy,B minor,,A,Sonata da Chiesa 3 Adagio Op9No2 B minor,
Sonata da Chiesa 4 Allegro,Albinoni,Op9No2,1722,,Violin,Harpsichord,,ChamberSonata,,,,Italy,B minor,,A,Sonata da Chiesa 4 Allegro Op9No2 B minor,
Suite Introdutione Seconda 1 Prelude,Albinoni,,,1720-1750,Orchestra,,,OrchestralSuite,,,,Italy,G minor,,A,Suite Introdutione Seconda 1 Prelude Op9No2 G minor,
"Adagio e Fuga per due violini, viola, e violoncello 1 Adagio",Albrechtsberger,,,1780-1795,StringQuartet,,,StringQuartet,,,,Austria,D minor,,A,"Adagio e Fuga per due violini, viola, e violoncello 1 Adagio D minor",
"Adagio e Fuga per due violini, viola, e violoncello 2 Fuga Allegro",Albrechtsberger,,,1780-1795,StringQuartet,,,StringQuartet,,,,Austria,D major,,A,"Adagio e Fuga per due violini, viola, e violoncello 2 Fuga Allegro D major",
Duet in A 1 Andante,Albrechtsberger,No3,,1780-1795,Violin,Cello,,Duet,,,,Austria,A minor,,A,Duet in A 1 Andante No3 A minor,
Duet in A 2 Fugue Poco Allegro,Albrechtsberger,No3,,1780-1795,Violin,Cello,,Duet,,,,Austria,A minor,,A,Duet in A 2 Fugue Poco Allegro No3 A minor,
